,SHAPE
2261,16.36304810375063 48.202586539659606
2262,16.373720162410113 48.21300659860444
2263,16.372173558639457 48.214339797856695
2264,16.3684636867847 48.216335577632435
2265,16.374109381888744 48.21347978344866
2266,16.3737310612562 48.213557609144786
2267,16.369425144998846 48.21223837335626
2268,16.369690640718396 48.210825731917446
2269,16.36201976352349 48.20953646902839
2270,16.377096425878246 48.210089395279226
2271,16.3737310612562 48.213557609144786
2272,16.374109381888744 48.21347978344866
2273,16.36513082365812 48.21581146021615
2274,16.364693930648283 48.20934589900623
2275,16.365228197011714 48.21144613076148
2276,16.366387795151034 48.20897035856849
2277,16.378151291178998 48.21123915700337
2278,16.36899089718078 48.21420886790003
2279,16.365475361343208 48.210502014123364
2280,16.370721425361037 48.20527094917044
2281,16.3684636867847 48.216335577632435
2282,16.355916007053025 48.209903435578084
2283,16.36999040171788 48.20651033767866
2284,16.37102399385264 48.215030714090275
2285,16.371045845430814 48.20786359178761
2286,16.373720162410113 48.21300659860444
2287,16.3684636867847 48.216335577632435
2288,16.3684636867847 48.216335577632435
2289,16.372792217369852 48.21332705659992
2290,16.374109381888744 48.21347978344866
2291,16.3737310612562 48.213557609144786
2292,16.37807292934536 48.20623167120182
2293,16.37305064232082 48.21305564869283
2294,16.372729659460393 48.21315431692563
2295,16.380482101865912 48.211193944948754
2296,16.36999040171788 48.20651033767866
2297,16.37001678473442 48.21122124780924
2298,16.377421833957598 48.2066589051043
2299,16.36654171143543 48.208507796697724
2300,16.36557218825011 48.21110600972334
2301,16.363556920053163 48.20994179666776
2302,16.37146199748467 48.207094364380026
2303,16.368107815029234 48.20612704594157
2304,16.377151500745104 48.206606661320045
2305,16.37063788872846 48.214241253768385
2306,16.365236225533813 48.20163137522634
2307,16.369754311728123 48.216829221380124
2308,16.375400931447675 48.20757494325209
2309,16.370747811042104 48.21242477176923
2310,16.3737310612562 48.213557609144786
2311,16.374109381888744 48.21347978344866
2312,16.370618483957493 48.20658461487246
2313,16.37048314907168 48.218070068286096
2314,16.372522283641636 48.21502083372247
2315,16.371486647381275 48.207918135858336
2316,16.356815462276785 48.20621911469269
2317,16.37267907257274 48.21354185052136
2318,16.37215043931743 48.209387152056784
2319,16.37285698945125 48.21377300929363
2320,16.369773876370555 48.21326745062575
2321,16.381903473253313 48.21115129960851
2322,16.371047159982005 48.20786566162776
2323,16.37730865250783 48.211317073334875
2324,16.372788965486766 48.202926308577595
2325,16.37046634918128 48.21226549642612
2326,16.369419600885337 48.21095054661654
2327,16.37150513464532 48.20995140703093
2328,16.369485994314477 48.217879076431025
2329,16.356041173102923 48.21103673910242
2330,16.377451157112183 48.21133383952013
2331,16.360800689160968 48.20686763931153
2332,16.37773368865004 48.20648072687167
2333,16.37112591415907 48.207491158168054
2334,16.369885027909458 48.21670309832234
2335,16.36256512707364 48.21327644316955
2336,16.381903473253313 48.21115129960851
2337,16.373570437879273 48.21342699019554
2338,16.369568454495415 48.21142471566633
2339,16.372837788534525 48.20648770024676
2340,16.373403170138737 48.20970205498283
2341,16.371921123899185 48.20333397524343
2342,16.370853432817917 48.21301559400943
2343,16.364401931016165 48.211488065421605
2344,16.372451509198537 48.21445752144154
2345,16.375075127538267 48.212443532222196
2346,16.370382318527465 48.206311561296076
2347,16.373570437879273 48.21342699019554
2348,16.372328203037082 48.213243207023325
2349,16.381151186248033 48.207306366209586
2350,16.374939942145037 48.21214410391946
2351,16.3572976558888 48.2108389768662
2352,16.370673243965914 48.21399051243607
2353,16.37766965629796 48.21131631394747
2354,16.37212243597374 48.215395139136774
2355,16.373570437879273 48.21342699019554
2356,16.36956760338258 48.21053070034411
2357,16.373331201198773 48.206377824336094
2358,16.37267907257274 48.21354185052136
2359,16.370382318527465 48.206311561296076
2360,16.369263929188982 48.20741149031162
2361,16.370824544073777 48.20749871387823
2362,16.367879666740226 48.21292319403622
2363,16.36298193553832 48.202368109600066
2364,16.364762009735948 48.21030806640776
2365,16.36983841716702 48.21416576810223
2366,16.37122439378313 48.213194086575044
2367,16.37130654570935 48.21015561398987
2368,16.37046634918128 48.21226549642612
2369,16.373570437879273 48.21342699019554
2370,16.3673020811919 48.2130327095453
2371,16.36689593636488 48.21362016561465
2372,16.370739829805185 48.213707576780266
2373,16.36439764164146 48.20320459016048
2374,16.36944615870878 48.210614552375134
2375,16.36944615870878 48.210614552375134
2376,16.361641307636717 48.20874060522232
2377,16.37271350320592 48.21484126857718
2378,16.379794471401613 48.21079652815218
2379,16.379076099412647 48.20741301026649
2380,16.372552988625042 48.21353793351944
2381,16.382948489151733 48.20991539073592
2382,16.365904174018834 48.20863215992397
2383,16.374092463685404 48.21316457695462
2384,16.369161658600532 48.210521284877125
2385,16.374894309878666 48.2080193802834
2386,16.369821418498987 48.2118421967738
2387,16.374092463685404 48.21316457695462
2388,16.36229908594493 48.212443642603326
2389,16.378459029852188 48.21028081694415
2390,16.381407921827922 48.21115572264135
2391,16.374289681507193 48.21328744887853
2392,16.373292480928725 48.21366818837779
2393,16.382948489151733 48.20991539073592
2394,16.367952626723657 48.2060222280152
2395,16.362798288231076 48.212705680061994
2396,16.36769678157979 48.215695244125655
2397,16.371903029621542 48.21560225915162
2398,16.368857680894997 48.21470015820571
2399,16.374289681507193 48.21328744887853
2400,16.374092463685404 48.21316457695462
2401,16.378057651853176 48.20679968872266
2402,16.374289681507193 48.21328744887853
2403,16.380265036518885 48.20786752706179
2404,16.363872168492986 48.21044066470669
2405,16.3780987511334 48.21083070433931
2406,16.37321700930572 48.20996318828699
2407,16.368255751112976 48.21528677514981
2408,16.36997326668351 48.21353923441936
2409,16.372552988625042 48.21353793351944
2410,16.376941268647606 48.21141657935556
2411,16.372898853866566 48.20928520185004
2412,16.370396295225266 48.20326285372124
2413,16.374214643125573 48.206089122424636
2414,16.37776597127934 48.21111995721772
2415,16.383836493353378 48.21105473603595
2416,16.37292839138013 48.21389259617241
2417,16.365722340416216 48.209457604478985
2418,16.374092463685404 48.21316457695462
2419,16.369515496691548 48.21006180916542
2420,16.370894256895024 48.21031123211005
2421,16.377138366630472 48.2105465954679
2422,16.370861041258156 48.20357208129721
2423,16.380742845016268 48.207918873804715
2424,16.37000787470719 48.213151074501305
2425,16.367292180621728 48.21379137957932
2426,16.38095170006491 48.208122758811854
2427,16.36946447863478 48.21603718409346
2428,16.374289681507193 48.21328744887853
2429,16.36999445640472 48.21225277608881
2430,16.370751650593103 48.20554477836056
2431,16.36961265285192 48.206364128572424
2432,16.383836493353378 48.21105473603595
2433,16.368577268325122 48.206627477199405
2434,16.37362487549279 48.20744873175621
2435,16.36979752220451 48.21233557148967
2436,16.37546816467297 48.21191729540909
2437,16.369652123268047 48.21468787842378
2438,16.374908060494292 48.20680771893977
2439,16.369345327359078 48.20720354354541
2440,16.371109804037708 48.203590711794284
2441,16.35855697936833 48.21401995424341
2442,16.375911774096057 48.207670632668325
2443,16.381490343196848 48.208651079091865
2444,16.36934581270074 48.21107521392571
2445,16.370057914010417 48.20789581349606
2446,16.373810256439103 48.21329282306078
2447,16.373729372518337 48.20996419099147
2448,16.3709273150061 48.20766847483275
2449,16.365931224202185 48.20910726467344
2450,16.366249575026323 48.2148661662081
2451,16.373810256439103 48.21329282306078
2452,16.3667563536532 48.209482065044064
2453,16.379736048246187 48.209998101073545
2454,16.369973346978288 48.21554375796904
2455,16.367108815580814 48.21340966730116
2456,16.36849213902105 48.2156517431947
2457,16.37758907865477 48.20633922578045
2458,16.371676986346955 48.203582353995934
2459,16.36944675599745 48.21651355942359
2460,16.362533561436322 48.21312248663082
2461,16.37090486401699 48.214650364396235
2462,16.37046239342874 48.21339297669211
2463,16.37413522317469 48.20748714510888
2464,16.373583931104886 48.213847328507335
2465,16.366541250184717 48.209092266127215
2466,16.370140246636065 48.213402764420174
2467,16.375005938686858 48.20725195104813
2468,16.37758907865477 48.20633922578045
2469,16.37135234466345 48.2035599708415
2470,16.368819581052072 48.212767707792494
2471,16.36941890196351 48.207588342205774
2472,16.370972503442488 48.21514352073699
2473,16.372754927774523 48.21424653440573
2474,16.382948489151733 48.20991539073592
2475,16.362590469627612 48.21260253815213
2476,16.370571979595233 48.20645332776177
2477,16.370322283004125 48.20788215541588
2478,16.37762704873376 48.21037348057428
2479,16.370509237420222 48.213823642199614
2480,16.3708417979864 48.2163069324793
2481,16.382287725144696 48.21067000893786
2482,16.371811215096997 48.20314533148569
2483,16.35777101652921 48.20571594781878
2484,16.372525596476034 48.20298529789678
2485,16.37203309244014 48.21474606510506
2486,16.373128481947127 48.21445424789726
2487,16.375868394849764 48.21165518543819
2488,16.369304609149946 48.216652185843344
2489,16.369568956254792 48.21074869551135
2490,16.369784655526377 48.21035931624046
2491,16.36997480129633 48.206315549065266
2492,16.37072689719963 48.207344959219164
2493,16.379813230653934 48.2111795420845
2494,16.37090486401699 48.214650364396235
2495,16.357618768865173 48.213552576367064
2496,16.371312139320104 48.21616100962713
2497,16.382287725144696 48.21067000893786
2498,16.375669906611247 48.20795607369267
2499,16.381994352242188 48.20955685599356
2500,16.366012127513514 48.20983181106295
2501,16.36963663765494 48.213845938570266
2502,16.36606877410402 48.214317432468036
2503,16.36991198745564 48.21104546128696
2504,16.374187052702652 48.208254969137904
2505,16.372725485898943 48.20616353035799
2506,16.370601760715356 48.214944983288255
2507,16.369882376300488 48.207754401801445
2508,16.358484777472544 48.2098218460135
2509,16.373810256439103 48.21329282306078
2510,16.371235473833128 48.21149013902343
2511,16.371235473833128 48.21149013902343
2512,16.371912103523954 48.20950530743187
2513,16.37017091617832 48.21599479896538
2514,16.37099732813643 48.20595929173882
2515,16.37187323624994 48.211463322609355
2516,16.365259464746607 48.214858327428104
2517,16.37071823597775 48.20527166419202
2518,16.371493462707278 48.207264416527686
2519,16.36891039058318 48.215061670213274
2520,16.378796215841604 48.211095747494355
2521,16.367525230481828 48.213560910102636
2522,16.363863646365093 48.20337846936873
2523,16.370437412012368 48.215476710962996
2524,16.376924781873704 48.21014089751147
2525,16.381317976872385 48.208482793896444
2526,16.36848941436222 48.2149580977617
2527,16.379386674173475 48.21082896794673
2528,16.363996868322193 48.20269989809546
2529,16.373918411575385 48.20630320851981
2530,16.369962864767796 48.20800672791292
2531,16.371162730975406 48.21393109907245
2532,16.371025382226815 48.21180613460891
2533,16.37275158910152 48.20314746396956
2534,16.358499521979986 48.209671997255676
2535,16.3701801892965 48.20623454941409
2536,16.37226536961744 48.21458897089334
2537,16.373144999802015 48.212727995615936
2538,16.37150783363344 48.21577449435096
2539,16.369238871791502 48.21257953973232
2540,16.369407287422153 48.21416643328431
2541,16.371025382226815 48.21180613460891
2542,16.36453338420014 48.21123559347677
2543,16.373810256439103 48.21329282306078
2544,16.37119920384459 48.20980338246147
2545,16.383906696896968 48.21145373585014
2546,16.375495814445554 48.207439023232304
2547,16.368787861002865 48.21536243799132
2548,16.36963836035726 48.20782399077299
2549,16.36513397372304 48.21090530259884
2550,16.373178636300477 48.20283733057346
2551,16.37032043257207 48.20732556552008
2552,16.36162211975646 48.20698581092153
2553,16.371078229609235 48.206221509568884
2554,16.370837405016413 48.207018831696324
2555,16.358477468534275 48.20949033494715
2556,16.362810096457082 48.21290172936082
2557,16.370607754052966 48.20362719608241
2558,16.357776174307546 48.20550424635384
2559,16.375486699695056 48.20765918040526
2560,16.376296283486926 48.21166645813417
2561,16.369637823065222 48.2158690506512
2562,16.359222611711058 48.21155019632034
2563,16.37065047271055 48.21334426710018
2564,16.371888824223227 48.21298047291887
2565,16.383862299038068 48.210734746702805
2566,16.382224002260326 48.21043054514867
2567,16.377065087217176 48.20689573428618
2568,16.372143637809913 48.20966522448698
2569,16.37442226296163 48.207749022394715
2570,16.36483089872486 48.21536367369701
2571,16.381918879042075 48.209264156822535
2572,16.369330335206346 48.21086082013417
2573,16.372120475322745 48.21539696627122
2574,16.38225002630253 48.20839482983286
2575,16.369662968668788 48.2121320044533
2576,16.366456766342626 48.209339601948955
2577,16.36894922392573 48.212448501726534
2578,16.36825362086689 48.20628726453255
2579,16.35809808494568 48.205417490616185
2580,16.371866152232265 48.21172467392637
2581,16.37011189413906 48.21159920456433
2582,16.3617005982735 48.208419672614596
2583,16.369728932361124 48.21135802915891
2584,16.36980506914597 48.21091706953229
2585,16.370960566592178 48.20333157228605
2586,16.36973164383618 48.21015518572405
2587,16.369126054923385 48.21227811965146
2588,16.356539150024627 48.212054593761735
2589,16.374143229513173 48.2061249390871
2590,16.3624669241839 48.212536414241065
2591,16.370576604596163 48.20672950824121
2592,16.365798557402922 48.214691365544994
2593,16.370539756501504 48.216594715964455
2594,16.37243388752818 48.21386989443301
2595,16.370854731819218 48.213543764961564
2596,16.37851228274153 48.20665832843926
2597,16.356539150024627 48.212054593761735
2598,16.378231575524918 48.207246498364086
2599,16.37129241523813 48.20327193610686
2600,16.371675370917213 48.213691542446675
2601,16.37039578653878 48.20713947333291
2602,16.377935364485328 48.210614477015916
2603,16.365230687677347 48.21014247354948
2604,16.369287853699095 48.206748952765146
2605,16.37384417808095 48.20614554302139
2606,16.376622093183027 48.2115666090997
2607,16.364204115896097 48.201599615979084
2608,16.371445743364806 48.21476333411274
2609,16.37142948042482 48.213812127234
2610,16.37256251157296 48.2127359158294
2611,16.365897777316352 48.208506076643886
2612,16.36980649818039 48.21207053885182
2613,16.37167009410023 48.21131616665233
2614,16.3590024020234 48.21378604301231
2615,16.369249961761074 48.216391476837
2616,16.369501797218398 48.207407284633405
2617,16.37862896693235 48.2073544506801
2618,16.378772097438695 48.2070033922404
2619,16.374708699241516 48.20702425286309
2620,16.36973164383618 48.21015518572405
2621,16.36938469129473 48.21480522753964
2622,16.36872344849756 48.20716109365047
2623,16.37167009410023 48.21131616665233
2624,16.363364928100687 48.20209219716998
2625,16.373925028541557 48.213650895083006
2626,16.373925028541557 48.213650895083006
2627,16.368215428239573 48.212775792003676
2628,16.373645941779657 48.21252899330986
2629,16.371721535342687 48.213318759539824
2630,16.370013634273462 48.213992147630414
2631,16.367988412623998 48.20580305324524
2632,16.37114460251386 48.21122225885598
2633,16.368064249478888 48.21547325771541
2634,16.371344484868718 48.21113136633454
2635,16.373925028541557 48.213650895083006
2636,16.37325174378107 48.214087734837406
2637,16.363746685634688 48.202279345142635
2638,16.35665871207115 48.214268881180054
2639,16.373061327665305 48.206208568950814
2640,16.369287853699095 48.206748952765146
2641,16.373293453413936 48.21017720217064
2642,16.3684994891572 48.21130109508281
2643,16.372907275971613 48.21465873453219
2644,16.362716473353814 48.202037939907655
2645,16.36238302559646 48.212925210021226
2646,16.36925799103302 48.211555566883995
2647,16.371149497226277 48.21346759298809
2648,16.37256251157296 48.2127359158294
2649,16.373925028541557 48.213650895083006
2650,16.37407463828406 48.20743194674135
2651,16.36992923297183 48.21700966374355
2652,16.366589494366846 48.20876741829081
2653,16.368696137395265 48.206737970294824
2654,16.37334315308313 48.206161533452935
2655,16.369776303677938 48.21650626889274
2656,16.370210575635557 48.20661072692188
2657,16.371444815410815 48.20323708560512
2658,16.382175534373275 48.21024719287957
2659,16.36939436098208 48.211244452203566
2660,16.3733210937533 48.21323002984636
2661,16.372045917836868 48.213459312501186
2662,16.36974491242902 48.21254315024775
2663,16.363548538753854 48.20306207325917
2664,16.363066045139224 48.212943488122086
2665,16.3752971197848 48.20535347276744
2666,16.37118069976795 48.21510776071123
2667,16.372134071358204 48.212909080206316
2668,16.381836147394083 48.21157009635641
2669,16.36438680388724 48.21065035111676
2670,16.369854203001886 48.216279347453394
2671,16.36922534295375 48.21434518089324
2672,16.373765277172478 48.21140606159099
2673,16.366539227598608 48.20953940947416
2674,16.377046237585386 48.20637152605346
2675,16.369188082720456 48.20663018102738
2676,16.36468260135581 48.210991120922316
2677,16.36946346045482 48.21674899673567
2678,16.37895989354534 48.21213889954773
2679,16.372383933237636 48.20927313459238
2680,16.371445743364806 48.21476333411274
2681,16.37019160305279 48.215331723589735
2682,16.364219872963833 48.20286181187374
2683,16.378409925691358 48.210775843228824
2684,16.369188082720456 48.20663018102738
2685,16.372390699566793 48.20322887713628
2686,16.365553864667625 48.21012368540672
2687,16.36183847196476 48.21292011700802
2688,16.366699469197602 48.209079004137514
2689,16.36631603074315 48.20911220049102
2690,16.37031693006733 48.21568806836279
2691,16.368638707961864 48.2063433639381
2692,16.357135245653062 48.214076160539484
2693,16.377500154619096 48.21152618676949
2694,16.37320960486875 48.21200752846438
2695,16.372617235145892 48.21192084353012
2696,16.376056969536577 48.21052764067457
2697,16.368009498644792 48.20270892792026
2698,16.380372911778696 48.20939642283798
2699,16.370263915871465 48.20589458074321
2700,16.370267184437036 48.20603725546569
2701,16.37493552713028 48.214314617167545
2702,16.379441272674327 48.20680493148687
2703,16.379509541439642 48.20687199518703
2704,16.37262912311441 48.21122989106742
2705,16.37563220636568 48.2052951719636
2706,16.366247335438494 48.20278548573948
2707,16.37208055920266 48.20797002243137
2708,16.381326832528433 48.20906681007216
2709,16.36032152607944 48.21044776185432
2710,16.378317230436362 48.20554944579929
2711,16.37756651226966 48.20488296112735
2712,16.377548150540004 48.208974254269386
2713,16.381393933308797 48.21039786983
2714,16.38044226666449 48.20806566947068
2715,16.372643353117798 48.207587813060584
2716,16.36896974555631 48.21066271321233
2717,16.37756651226966 48.20488296112735
2718,16.374186625413707 48.20731499784994
2719,16.370826177246414 48.20573352366741
2720,16.37702957148103 48.204618228254866
2721,16.35853789240992 48.21221645917921
2722,16.372390699566793 48.20322887713628
2723,16.37756651226966 48.20488296112735
2724,16.369721403749324 48.21301359208229
2725,16.37702957148103 48.204618228254866
2726,16.376215429713273 48.206165694044294
2727,16.362660885163134 48.20302576901057
2728,16.381994352242188 48.20955685599356
2729,16.36787831583042 48.20268288385649
2730,16.368134202864184 48.20270079936901
2731,16.3654220803948 48.21450044629507
2732,16.372448316103302 48.216031154159076
2733,16.370140246636065 48.213402764420174
2734,16.363215530093658 48.20323248392857
2735,16.36179351589096 48.21127607762385
2736,16.377292372121566 48.204769385233135
2737,16.381296178812935 48.210929047625775
2738,16.379736048246187 48.209998101073545
2739,16.376901467703174 48.20416104285249
2740,16.37270919722947 48.21162952409352
2741,16.372811757445582 48.20752732500974
2742,16.372811757445582 48.20752732500974
2743,16.371787487984328 48.206950552208276
2744,16.377292372121566 48.204769385233135
2745,16.372525596476034 48.20298529789678
2746,16.366548174197664 48.21305962131233
2747,16.37973339411082 48.20906355833938
2748,16.36217350251051 48.2120931156517
2749,16.381602244669814 48.21012529315922
2750,16.37338546946253 48.212381409442415
2751,16.365798230070748 48.20270987952131
2752,16.370571979595233 48.20645332776177
2753,16.376765337180295 48.205374007366935
2754,16.371811215096997 48.20314533148569
2755,16.381735941198254 48.2056791718032
2756,16.357468116131972 48.20914484987346
2757,16.383681446398796 48.20839190848651
2758,16.375905474167624 48.20619458000757
2759,16.377649978866923 48.20511684480068
2760,16.376765337180295 48.205374007366935
2761,16.379813230653934 48.2111795420845
2762,16.375669906611247 48.20795607369267
2763,16.37237351708703 48.207668207901726
2764,16.375319757578616 48.20998542348213
2765,16.37703819279888 48.20488557849341
2766,16.36505437479196 48.21434891386129
2767,16.36814769514257 48.202763838145046
2768,16.372162975095286 48.207118068798614
2769,16.37703819279888 48.20488557849341
2770,16.380762154595136 48.20892835522992
2771,16.375176868961805 48.208218664360686
2772,16.380146874486154 48.20814321456639
2773,16.36373675568919 48.209336420142115
2774,16.374499197501766 48.205915368667874
2775,16.37186324368333 48.207157013062364
2776,16.378317230436362 48.20554944579929
2777,16.373645941779657 48.21252899330986
2778,16.374708699241516 48.20702425286309
2779,16.38090357080396 48.208628915977904
2780,16.368045253947443 48.202661163956186
2781,16.376032419481895 48.204905357324684
2782,16.37427931953785 48.21183684702552
2783,16.371209808080657 48.202279648501566
2784,16.37152997344733 48.20050302756772
2785,16.381036675362985 48.2088275242806
2786,16.372988923160943 48.206739821854505
2787,16.370440325952394 48.205335689288766
2788,16.362579571523735 48.20422161716386
2789,16.37985101312265 48.20830286717923
2790,16.374299785909045 48.21167487244001
2791,16.37081719642954 48.20090073038174
2792,16.374139734062858 48.20721941541674
2793,16.36255613059781 48.20991334268236
2794,16.377677575814662 48.20834845936839
2795,16.370837405016413 48.207018831696324
2796,16.371209808080657 48.202279648501566
2797,16.367770207780953 48.21019765061803
2798,16.37346668710525 48.211381967194
2799,16.375824572923886 48.20561625375231
2800,16.375824572923886 48.20561625375231
2801,16.37417871698827 48.206991604214714
2802,16.37407463828406 48.20743194674135
2803,16.375555679658653 48.210235803919765
2804,16.365230687677347 48.21014247354948
2805,16.36180714826474 48.21163040724657
2806,16.371078229609235 48.206221509568884
2807,16.3684994891572 48.21130109508281
2808,16.370884395953397 48.20599025272815
2809,16.375532983877132 48.20573155725452
2810,16.374143229513173 48.2061249390871
2811,16.37005606212021 48.205295423740466
2812,16.372059624052916 48.20208333366506
2813,16.37529848212736 48.207846123808096
2814,16.37333911706189 48.20690473468124
2815,16.370344072840744 48.210094840487095
2816,16.37011189413906 48.21159920456433
2817,16.364802670601634 48.20842775421973
2818,16.37443989148476 48.206851493018306
2819,16.368982904143877 48.21083025306776
2820,16.37311719154445 48.21222978054627
2821,16.37286375781404 48.21176005629171
2822,16.3730380331046 48.20730529989346
2823,16.37641716176016 48.20521036327658
2824,16.366825194290673 48.21255421906377
2825,16.38119509899025 48.20997283856912
2826,16.373609804091 48.20726068841104
2827,16.370344072840744 48.210094840487095
2828,16.37553856453584 48.20634192541901
2829,16.367872986918726 48.202767511609196
2830,16.373962329153663 48.207112364659004
2831,16.37108819206212 48.20662656129654
2832,16.374682845265873 48.2082497677548
2833,16.37765602541676 48.208769080031495
2834,16.37944974028326 48.20886896237536
2835,16.381918879042075 48.209264156822535
2836,16.38119509899025 48.20997283856912
2837,16.371020678427723 48.20171169365911
2838,16.373601513520097 48.206592854443095
2839,16.36483089872486 48.21536367369701
2840,16.370576604596163 48.20672950824121
2841,16.38099849388004 48.21086378350317
2842,16.364242129950107 48.21010045138704
2843,16.36609524891473 48.20243919623747
2844,16.369330335206346 48.21086082013417
2845,16.374350710565768 48.21429151345286
2846,16.367959134151814 48.202844919489785
2847,16.359166923850612 48.20798826382945
2848,16.369432563365052 48.21309596400095
2849,16.378866880469413 48.20869992812353
2850,16.36766920175772 48.21026395837774
2851,16.373036194532574 48.206993415554834
2852,16.371866581468126 48.207156735933026
2853,16.372602018912335 48.211525506647675
2854,16.366513148589192 48.21344561923583
2855,16.37697173853778 48.20827811549217
2856,16.37573271808248 48.21019824136077
2857,16.380191569452496 48.2108403534837
2858,16.380729891017268 48.208340211198504
2859,16.380482101865912 48.211193944948754
2860,16.369902689207866 48.20972855673491
2861,16.35848963094135 48.21200782601374
2862,16.37340259364041 48.2113180462303
2863,16.357723211408963 48.2094518307196
2864,16.36086069578922 48.21301871722258
2865,16.376448784069364 48.20487544449091
2866,16.380482101865912 48.211193944948754
2867,16.37981789622258 48.21096990845613
2868,16.380472915100825 48.20865714172492
2869,16.37434955425336 48.20658955051564
2870,16.37550002641586 48.20995037827947
2871,16.374336394643976 48.20608089819679
2872,16.37371400273844 48.21157649978576
2873,16.365010077340354 48.21406150198658
2874,16.373555408941918 48.21145280488261
2875,16.37426535180883 48.21440873052271
2876,16.37411411958342 48.20660383782998
2877,16.362373083060273 48.20268265346679
2878,16.364693930648283 48.20934589900623
2879,16.363512863885052 48.20352154576484
2880,16.37084879196947 48.20137198144498
2881,16.36799931817458 48.210153250780955
2882,16.379108589703126 48.20909949667602
2883,16.36578714083929 48.21379591451906
2884,16.371616138749328 48.201578051873554
2885,16.375110370555102 48.205869567435855
2886,16.371577165287675 48.202805100126895
2887,16.365404748331624 48.20297833831988
2888,16.38147581376781 48.21063408936259
2889,16.37099732813643 48.20595929173882
2890,16.373701440898827 48.21132640258349
2891,16.36808033477019 48.20282689941574
2892,16.377206564410713 48.20883992819162
2893,16.37969230278549 48.20954175233043
2894,16.363894659452235 48.20948396082845
2895,16.367636965690735 48.20772275338681
2896,16.36606877410402 48.214317432468036
2897,16.37365816897776 48.21176861308768
2898,16.37653131443587 48.20632035684702
2899,16.368165494022147 48.20994914850306
2900,16.36934581270074 48.21107521392571
2901,16.37430501075531 48.20711827684627
2902,16.372190459758272 48.20353075283389
2903,16.364908814858435 48.214650582654386
2904,16.377649978866923 48.20511684480068
2905,16.370387540569823 48.20970380245259
2906,16.374038733292878 48.207273767821135
2907,16.373361633217446 48.20734197783358
2908,16.357663076993326 48.209792774882025
2909,16.365938838455747 48.21364955574148
2910,16.37729514791397 48.2047681152952
2911,16.374187052702652 48.208254969137904
2912,16.37391037057496 48.212382587141846
2913,16.376341384533404 48.20362101696875
2914,16.365259464746607 48.214858327428104
2915,16.376895205834455 48.20542504290842
2916,16.37187323624994 48.211463322609355
2917,16.3701801892965 48.20623454941409
2918,16.380447029778573 48.206880720801244
2919,16.366971720129328 48.21299340836704
2920,16.379687953880957 48.20979841591767
2921,16.374214643125573 48.206089122424636
2922,16.379691764927177 48.20788896969725
2923,16.37349042504738 48.206835168006194
2924,16.374292761520714 48.20692915345595
2925,16.37362487549279 48.20744873175621
2926,16.369562520927616 48.21305806486136
2927,16.37245153694525 48.216018832447006
2928,16.36673490639298 48.21322999313075
2929,16.36997326668351 48.21353923441936
2930,16.369419600885337 48.21095054661654
2931,16.37486466777794 48.208319943690064
2932,16.366067265276936 48.21331719532194
2933,16.37146334649784 48.20123105015806
2934,16.369821418498987 48.2118421967738
2935,16.366488205975067 48.21404502335782
2936,16.3572976558888 48.2108389768662
2937,16.368124550422706 48.20275494129178
2938,16.379826648994534 48.207023950489216
2939,16.363210864444337 48.20943933769423
2940,16.374379469500784 48.207375907897124
2941,16.38035856571996 48.21054890915921
2942,16.370751650593103 48.20554477836056
2943,16.37707546856041 48.20540375484239
2944,16.37000787470719 48.213151074501305
2945,16.37317813039638 48.21109041056556
2946,16.380197442439847 48.2087464603753
2947,16.37339340867746 48.210898335840504
2948,16.372785978778165 48.20347672835266
2949,16.379982475039792 48.208474317814705
2950,16.379691764927177 48.20788896969725
2951,16.374908060494292 48.20680771893977
2952,16.380265036518885 48.20786752706179
2953,16.38033178082994 48.20834908836616
2954,16.37258583261478 48.20691936515651
2955,16.36524863020702 48.202630609819586
2956,16.374894309878666 48.2080193802834
2957,16.375705724705096 48.21043917893219
2958,16.381407921827922 48.21115572264135
2959,16.36378131728824 48.20838573625733
2960,16.37246253189048 48.21139820688739
2961,16.37895059293192 48.206147530831615
2962,16.372209355773528 48.20266047222554
2963,16.37569204256409 48.206475691866366
2964,16.368481684322767 48.209736010646736
2965,16.361961948720097 48.21175789635322
2966,16.36757155428879 48.206976609113255
2967,16.371921123899185 48.20333397524343
2968,16.378321858161225 48.20452024233671
2969,16.373503190417313 48.21217596623701
2970,16.383027210984555 48.211990273407324
2971,16.36395656056707 48.21496477000911
2972,16.35783552984881 48.21193087951128
2973,16.37727020639198 48.205314112808225
2974,16.37727020639198 48.205314112808225
2975,16.37394567890448 48.21190881302772
2976,16.368344909959106 48.20983380532567
2977,16.37562255825896 48.21077042768556
2978,16.376897888933126 48.20863652150635
2979,16.371048096939433 48.20642548502175
2980,16.378481280446113 48.205881310096174
2981,16.37235376295801 48.20789259498393
2982,16.379177769406528 48.206464642370975
2983,16.380110832122917 48.20910415385788
2984,16.369773876370555 48.21326745062575
2985,16.375001300084477 48.205744688484415
2986,16.370382318527465 48.206311561296076
2987,16.379794471401613 48.21079652815218
2988,16.368003122996132 48.2106472471123
2989,16.374887823761014 48.20816057602791
2990,16.363556920053163 48.20994179666776
2991,16.370266027346837 48.206035144200364
2992,16.372436890059987 48.207101704895216
2993,16.3689556193023 48.209823020591756
2994,16.37324537761838 48.20676779820609
2995,16.369288913808408 48.21318503832062
2996,16.372839685391458 48.2080125003545
